330 1039 1913 66 3449 49 407 4285 3020 103 0 13 2908 6397 392 238 3 7 3 1 9 0 0 1 2 1 2 0 2 1 1206 80 735 1 0 1 344 16 11 4 2 12 4 39 1 5 281 6 0 10 46 1 1 6 0 23 274 225 35 105 8 14 1 157 7 55 29 44 11 4 79 8 2 162 73 529 59 74 198 1748 3 76 51 1 16 92 28 0 32 3 28 11 95 30 16 55 3 0 3 211 12 4 21 6 39 87 10 68 26 50 19 142 38 132 19 12 6 0 0 0 0 1 0 0 1 0 0 2 0 1 2 2 1 1 33 9 0 0 0 27 1 27 27 4 2 0 0 1 1 0 0 3 23 1 0 0 1 3 1 4 2 10 29 5 2 0 4 5 1 1 0 0 0 0 1 0 48 3 0 1 3 8 0 0 19 7 10 0 1 1 1 0 0 0 2 0 1 88 74 41
86 75 1 541 27 292 279 4 4 6032 13 0 4766 75 11 11 0 0 0 0 0 0 0 0 1 0 0 0 0 0 19 1 9 0 0 0 32 0 1 0 0 0 0 4 0 0 6 0 0 0 2 0 0 0 0 2 58 6 8 3 0 1 0 2 0 3 2 3 0 0 28 0 0 15 2 8 0 2 1 7 0 0 4 0 0 4 1 0 0 0 0 1 1 1 0 128 2 0 0 66 1 2 16 5 9 49 12 19 14 51 8 94 27 71 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 5 0 3 1 0 0 1 0 0 0 0 0 0 3 0 0 1 0 0 2 0 0 1 3 7 0 0 0 1 1 0 0 0 0 0 0 0 12 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 61 17 4
353 1492 177 1678 2450 953 10200 400 1975 16055 2908 4766 0 15066 756 530 10 4 1 0 2 0 1 2 3 4 3 10 3 1 247 13 838 0 1 0 2591 35 87 16 3 15 2 69 9 4 413 8 3 6 40 16 4 26 3 29 423 94 88 96 3 61 0 72 3 36 22 32 12 5 723 23 1 188 36 515 51 103 17 895 2 111 39 1 6 96 33 5 28 8 25 12 80 25 13 777 46 8 43 420 60 53 181 83 243 747 142 392 220 670 133 1478 323 1166 157 37 30 0 0 0 2 1 0 0 1 2 0 1 0 6 1 10 2 3 214 79 0 0 0 157 1 99 108 11 3 5 1 2 2 5 2 16 86 1 1 0 7 12 0 18 2 44 106 43 2 0 21 25 10 12 0 0 1 0 0 5 247 31 5 3 8 51 0 3 70 50 33 6 3 2 0 1 1 2 1 1 3 838 332 141
139 1158 198 124 3887 74 3650 702 6256 612 6397 75 15066 0 381 231 8 2 1 1 2 0 0 0 1 1 2 3 1 0 218 6 2031 0 0 1 1122 14 15 0 0 10 1 33 4 3 276 5 2 2 38 2 1 4 2 11 146 75 32 84 2 10 0 78 2 27 13 31 7 1 81 3 0 130 29 379 51 91 12 1620 1 20 31 1 6 65 19 0 14 0 19 3 53 24 15 89 2 0 3 124 23 14 47 18 71 220 31 129 48 142 40 437 88 324 58 13 8 0 0 0 0 0 0 0 2 2 0 1 0 0 0 3 2 0 82 28 0 0 0 61 0 46 39 5 1 1 0 1 0 0 1 7 30 0 1 0 1 8 1 9 2 14 49 8 0 0 3 12 4 5 0 0 0 0 0 1 81 5 1 0 3 25 3 1 32 21 15 4 1 1 0 0 0 0 1 1 1 218 145 70
47 283 157 43 247 35 172 296 97 64 392 11 756 381 0 5543 614 81 239 11 8 2 6 6 199 19 50 11 4 3 122 47 222 6 15 98 368 589 134 241 4 25 3 437 162 55 592 15 10 56 40 2 0 18 0 2 41 35 6 441 14 403 7 25 1 30 11 74 50 9 299 18 0 115 8 780 123 693 212 710 12 539 20 0 11 10 77 0 14 2 15 6 80 25 13 61 29 0 27 42 0 2 4 1 13 15 1 10 6 12 3 32 15 32 10 9 13 0 3 0 1 1 0 1 0 1 0 5 0 14 0 32 2 7 6 4 5 3 0 26 1 34 115 27 0 0 0 0 3 7 0 0 20 0 0 1 15 4 0 0 0 0 6 1 3 1 4 5 0 0 0 0 0 0 0 0 10 16 1 0 2 7 0 0 1 3 1 1 0 0 1 0 0 1 1 0 0 28 49 53
32 77 135 7 50 25 28 107 35 40 238 11 530 231 5543 0 909 268 882 66 10 0 5 14 251 25 57 11 4 4 141 31 225 5 16 143 550 921 217 396 5 71 21 2160 506 167 506 62 58 214 64 1 1 30 0 1 50 31 5 105 42 535 16 41 1 126 35 316 203 9 340 29 1 112 23 1455 227 988 96 592 33 483 30 0 43 21 347 0 20 3 67 17 76 40 38 89 34 1 32 50 2 3 4 0 6 11 1 6 6 10 3 33 8 31 6 18 28 1 4 0 0 2 1 1 0 1 1 15 1 61 0 74 5 17 11 10 2 5 0 40 3 79 260 77 0 0 0 2 8 12 0 3 36 0 3 1 39 6 1 1 0 1 1 1 8 0 2 5 1 1 0 0 0 2 0 3 26 51 1 1 8 7 2 0 4 4 14 4 0 0 0 1 0 2 8 2 2 28 57 64
0 4 3 0 3 1 2 1 0 0 3 0 10 8 614 909 0 1337 844 80 16 0 64 115 242 85 230 19 20 14 9 5 8 10 45 34 29 129 39 106 3 4 3 135 230 159 898 10 165 88 7 1 1 9 0 0 2 8 0 2 18 32 23 33 0 15 2 39 13 0 7 3 0 10 11 26 20 39 1 12 1 16 6 0 8 1 41 0 5 1 5 2 11 6 7 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 3 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 8 1 3 0 0 0 0 0 1 0 5 5 4 1 0 0 0 0 4 0 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 0 0 0 4 5
0 11 9 2 8 0 2 10 0 0 7 0 4 2 81 268 1337 0 2167 1468 451 3 131 89 200 447 104 1239 240 32 42 39 5 336 116 385 11 146 25 59 54 505 168 269 2066 1245 1738 101 847 786 25 3 0 689 0 0 9 22 1 5 272 127 391 121 0 36 9 80 80 35 6 0 1 22 21 84 78 69 16 20 21 55 34 0 25 11 189 0 15 0 29 13 64 19 135 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 4 0 7 0 2 11 23 1 0 3 8 41 12 39 12 0 1 0 0 0 0 0 2 8 2 19 23 2 1 0 3 18 0 4 0 1 1 3 197 0 0 0 0 1 0 1 0 5 0 0 0 0 0 1 1 1 11 0 6 12 0 29 0 1 1 1 0 0 0 0 0 0 0 0 2 5 3 6 0 0 3
0 1 1 2 1 0 1 1 1 0 3 0 1 1 239 882 844 2167 0 181 7 0 5 8 52 23 37 16 22 8 1 0 1 27 8 24 8 25 19 56 0 7 5 195 1990 109 384 8 44 64 7 0 0 4 0 0 3 5 1 2 3 7 33 20 0 18 3 38 21 1 3 3 0 8 4 30 16 34 0 3 3 8 9 0 6 4 47 0 3 1 3 1 4 2 9 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 1 1 2 1 1 4 0 1 0 0 0 1 0 13 0 29 6 14 0 0 5 1 0 0 0 3 10 3 0 0 0 2 2 10 0 0 2 0 0 0 12 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 3
0 1 9 0 2 0 0 6 1 0 1 0 0 1 11 66 80 1468 181 0 2676 2 1167 742 163 930 243 696 486 167 64 61 1 651 159 193 0 74 6 46 5 31 243 34 1301 140 210 4 13 75 5 0 0 63 0 0 6 7 1 1 205 115 119 89 0 10 3 19 22 158 0 2 1 4 8 26 17 40 25 5 4 44 1 0 3 2 20 0 1 0 4 0 188 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 3 5 16 5 14 38 34 4 1 46 17 67 83 475 82 0 0 6 0 0 0 0 7 16 4 28 4 1 1 0 0 15 0 1 0 1 0 22 145 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 6 0 72 6 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 2
